technique_id	technique_name	tactics
T0800	Activate Firmware Update Mode	Inhibit Response Function
T0801	Monitor Process State	Collection
T0802	Automated Collection	Collection
T0803	Block Command Message	Inhibit Response Function
T0804	Block Reporting Message	Inhibit Response Function
T0805	Block Serial COM	Inhibit Response Function
T0806	Brute Force I/O	Impair Process Control
T0807	Command-Line Interface	Execution
T0808	Control Device Identification	Discovery
T0809	Data Destruction	Inhibit Response Function
T0810	Data Historian Compromise	Initial Access
T0811	Data from Information Repositories	Collection
T0812	Default Credentials	Lateral Movement
T0813	Denial of Control	Impact
T0814	Denial of Service	Inhibit Response Function
T0815	Denial of View	Impact
T0816	Device Restart/Shutdown	Inhibit Response Function
T0817	Drive-by Compromise	Initial Access
T0818	Engineering Workstation Compromise	Initial Access
T0819	Exploit Public-Facing Application	Initial Access
T0820	Exploitation for Evasion	Evasion
T0821	Modify Controller Tasking	Execution
T0822	External Remote Services	Initial Access
T0823	Graphical User Interface	Execution
T0824	I/O Module Discovery	Discovery
T0825	Location Identification	Collection
T0826	Loss of Availability	Impact
T0827	Loss of Control	Impact
T0828	Loss of Productivity and Revenue	Impact
T0829	Loss of View	Impact
T0830	Adversary-in-the-Middle	Collection
T0831	Manipulation of Control	Impact
T0832	Manipulation of View	Impact
T0833	Modify Control Logic	Inhibit Response Function; Impair Process Control
T0834	Native API	Execution
T0835	Manipulate I/O Image	Inhibit Response Function
T0836	Modify Parameter	Impair Process Control
T0837	Loss of Protection	Impact
T0838	Modify Alarm Settings	Inhibit Response Function
T0839	Module Firmware	Persistence; Impair Process Control
T0840	Network Connection Enumeration	Discovery
T0841	Network Service Scanning	Discovery
T0842	Network Sniffing	Discovery
T0843	Program Download	Lateral Movement
T0844	Program Organization Units	Execution; Lateral Movement
T0845	Program Upload	Collection
T0846	Remote System Discovery	Discovery
T0847	Replication Through Removable Media	Initial Access
T0848	Rogue Master	Initial Access
T0849	Masquerading	Evasion
T0850	Role Identification	Collection
T0851	Rootkit	Evasion; Inhibit Response Function
T0852	Screen Capture	Collection
T0853	Scripting	Execution
T0854	Serial Connection Enumeration	Discovery
T0855	Unauthorized Command Message	Impair Process Control
T0856	Spoof Reporting Message	Evasion; Impair Process Control
T0857	System Firmware	Persistence; Inhibit Response Function
T0858	Change Operating Mode	Execution; Evasion
T0859	Valid Accounts	Persistence; Lateral Movement
T0860	Wireless Compromise	Initial Access
T0861	Point & Tag Identification	Collection
T0862	Supply Chain Compromise	Initial Access
T0863	User Execution	Execution
T0864	Transient Cyber Asset	Initial Access
T0865	Spearphishing Attachment	Initial Access
T0866	Exploitation of Remote Services	Initial Access; Lateral Movement
T0867	Lateral Tool Transfer	Lateral Movement
T0868	Detect Operating Mode	Collection
T0869	Standard Application Layer Protocol	Command And Control
T0870	Detect Program State	Collection
T0871	Execution through API	Execution
T0872	Indicator Removal on Host	Evasion
T0873	Project File Infection	Persistence
T0874	Hooking	Execution; Privilege Escalation
T0875	Change Program State	Execution; Impair Process Control
T0876	Activate Firmware Update Mode	Inhibit Response Function
T0877	I/O Image	Collection
T0878	Alarm Suppression	Inhibit Response Function
T0879	Damage to Property	Impact
T0880	Loss of Safety	Impact
T0881	Service Stop	Inhibit Response Function
T0882	Theft of Operational Information	Impact
T0883	Internet Accessible Device	Initial Access
T0884	Connection Proxy	Command And Control
T0885	Commonly Used Port	Command And Control
T0886	Remote Services	Initial Access; Lateral Movement
T0887	Wireless Sniffing	Discovery; Collection
T0888	Remote System Information Discovery	Discovery
T0889	Modify Program	Persistence
T0890	Exploitation for Privilege Escalation	Privilege Escalation
T0891	Hardcoded Credentials	Lateral Movement; Persistence
T0892	Change Credential	Inhibit Response Function
T0893	Data from Local System	Collection
T0894	System Binary Proxy Execution	Evasion
T0895	Autorun Image	Execution
T1001	Data Obfuscation	Command And Control
T1001.001	Data Obfuscation: Junk Data	Command And Control
T1001.002	Data Obfuscation: Steganography	Command And Control
T1001.003	Data Obfuscation: Protocol or Service Impersonation	Command And Control
T1002	Data Compressed	Exfiltration
T1003	OS Credential Dumping	Credential Access
T1003.001	OS Credential Dumping: LSASS Memory	Credential Access
T1003.002	OS Credential Dumping: Security Account Manager	Credential Access
T1003.003	OS Credential Dumping: NTDS	Credential Access
T1003.004	OS Credential Dumping: LSA Secrets	Credential Access
T1003.005	OS Credential Dumping: Cached Domain Credentials	Credential Access
T1003.006	OS Credential Dumping: DCSync	Credential Access
T1003.007	OS Credential Dumping: Proc Filesystem	Credential Access
T1003.008	OS Credential Dumping: /etc/passwd and /etc/shadow	Credential Access
T1004	Winlogon Helper DLL	Persistence
T1005	Data from Local System	Collection
T1006	Direct Volume Access	Defense Evasion
T1007	System Service Discovery	Discovery
T1008	Fallback Channels	Command And Control
T1009	Binary Padding	Defense Evasion
T1010	Application Window Discovery	Discovery
T1011	Exfiltration Over Other Network Medium	Exfiltration
T1011.001	Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth	Exfiltration
T1012	Query Registry	Discovery
T1013	Port Monitors	Persistence; Privilege Escalation
T1014	Rootkit	Defense Evasion
T1015	Accessibility Features	Persistence; Privilege Escalation
T1016	System Network Configuration Discovery	Discovery
T1016.001	System Network Configuration Discovery: Internet Connection Discovery	Discovery
T1016.002	System Network Configuration Discovery: Wi-Fi Discovery	Discovery
T1017	Application Deployment Software	Lateral Movement
T1018	Remote System Discovery	Discovery
T1019	System Firmware	Persistence
T1020	Automated Exfiltration	Exfiltration
T1020.001	Automated Exfiltration: Traffic Duplication	Exfiltration
T1021	Remote Services	Lateral Movement
T1021.001	Remote Services: Remote Desktop Protocol	Lateral Movement
T1021.002	Remote Services: SMB/Windows Admin Shares	Lateral Movement
T1021.003	Remote Services: Distributed Component Object Model	Lateral Movement
T1021.004	Remote Services: SSH	Lateral Movement
T1021.005	Remote Services: VNC	Lateral Movement
T1021.006	Remote Services: Windows Remote Management	Lateral Movement
T1021.007	Remote Services: Cloud Services	Lateral Movement
T1021.008	Remote Services: Direct Cloud VM Connections	Lateral Movement
T1022	Data Encrypted	Exfiltration
T1023	Shortcut Modification	Persistence
T1024	Custom Cryptographic Protocol	Command And Control
T1025	Data from Removable Media	Collection
T1026	Multiband Communication	Command And Control
T1027	Obfuscated Files or Information	Defense Evasion
T1027.001	Obfuscated Files or Information: Binary Padding	Defense Evasion
T1027.002	Obfuscated Files or Information: Software Packing	Defense Evasion
T1027.003	Obfuscated Files or Information: Steganography	Defense Evasion
T1027.004	Obfuscated Files or Information: Compile After Delivery	Defense Evasion
T1027.005	Obfuscated Files or Information: Indicator Removal from Tools	Defense Evasion
T1027.006	Obfuscated Files or Information: HTML Smuggling	Defense Evasion
T1027.007	Obfuscated Files or Information: Dynamic API Resolution	Defense Evasion
T1027.008	Obfuscated Files or Information: Stripped Payloads	Defense Evasion
T1027.009	Obfuscated Files or Information: Embedded Payloads	Defense Evasion
